Area Code,Area Name,SOC Code,SOC Title,Employment ,Median,,Mean,,Entry Level,,10th Percentile,,90th Percentile,
000009,Connecticut,19-4042,"Environmental Science and Protection Technicians, Including Health",130,30.08,"62,576",33.29,"69,253",20.77,"43,209",19.81,"41,216",51.19,"106,492"
000009,Connecticut,19-2041,"Environmental Scientists and Specialists, Including Health",790,39.23,"81,600",44.43,"92,431",26.87,"55,889",25.39,"52,804",72.51,"150,833"
000009,Connecticut,19-1041,Epidemiologists,140,42.21,"87,800",49.68,"103,324",32.85,"68,329",31.05,"64,580",69.2,"143,938"
000009,Connecticut,19-1012,Food Scientists and Technologists,N/A,44.02,"91,548",48.95,"101,829",37.46,"77,903",35.91,"74,684",66.05,"137,395"
000009,Connecticut,19-4092,Forensic Science Technicians,100,40.67,"84,581",40.82,"84,902",29.74,"61,870",23.59,"49,066",50,"103,999"
000009,Connecticut,19-4071,Forest and Conservation Technicians,30,24.23,"50,385",27.9,"58,038",14.65,"30,478",14.66,"30,499",44.74,"93,054"
000009,Connecticut,19-1032,Foresters,80,36.44,"75,795",36.68,"76,283",30.67,"63,791",31.73,"66,013",43.3,"90,074"
000009,Connecticut,19-2042,"Geoscientists, Except Hydrologists and Geographers",N/A,36.01,"74,913",43.53,"90,531",28.46,"59,212",28.36,"58,994",78.93,"164,187"
000009,Connecticut,19-3093,Historians,60,61.29,"127,468",59.41,"123,574",52.3,"108,766",51.92,"107,997",65.28,"135,765"
000009,Connecticut,19-2043,Hydrologists,20,48.14,"100,136",51.33,"106,762",31.54,"65,598",30.59,"63,625",68.62,"142,733"
000009,Connecticut,19-1099,"Life Scientists, All Other",120,39.51,"82,171",38.14,"79,326",28.17,"58,599",26.55,"55,234",50.94,"105,941"
000009,Connecticut,19-4099,"Life, Physical, and Social Science Technicians, All Other",370,31.14,"64,778",30.16,"62,732",19.51,"40,582",18.16,"37,789",40.81,"84,892"
000009,Connecticut,19-2032,Materials Scientists,60,67.19,"139,753",60.71,"126,263",26.64,"55,401",19.82,"41,226",103.35,"214,956"
000009,Connecticut,19-1042,"Medical Scientists, Except Epidemiologists","1,730",65.38,"135,983",70.61,"146,876",38.9,"80,905",32.16,"66,906",111.47,"231,852"
000009,Connecticut,19-1022,Microbiologists,110,29.11,"60,541",33.44,"69,554",20.07,"41,745",18.69,"38,879",54.14,"112,618"
000009,Connecticut,19-5011,Occupational Health and Safety Specialists,"1,030",41.26,"85,816",44.04,"91,611",30.74,"63,936",26.29,"54,684",63.33,"131,736"
000009,Connecticut,19-5012,Occupational Health and Safety Technicians,80,31.57,"65,660",31.85,"66,242",21.71,"45,162",17.65,"36,719",39.7,"82,566"
000009,Connecticut,19-2099,"Physical Scientists, All Other",90,57.72,"120,054",65.56,"136,357",37.21,"77,395",30.61,"63,677",108.61,"225,912"
000009,Connecticut,19-2012,Physicists,60,85.34,"177,500",83.25,"173,159",34.1,"70,936",24.31,"50,551",>115.00,">239,200"
000009,Connecticut,19-3039,"Psychologists, All Other",210,58.07,"120,780",51.41,"106,928",21.72,"45,182",18.83,"39,159",71.58,"148,881"
000009,Connecticut,19-3034,School Psychologists,990,46.08,"95,848",46.96,"97,665",32.4,"67,384",30.73,"63,916",64.99,"135,173"
000009,Connecticut,19-4061,Social Science Research Assistants,110,21.99,"45,753",27.68,"57,581",17.24,"35,868",16.1,"33,490",46.15,"95,993"
000009,Connecticut,19-3099,"Social Scientists and Related Workers, All Other",180,47.35,"98,496",50.85,"105,775",33.86,"70,427",33.87,"70,458",71.04,"147,749"
000009,Connecticut,19-1013,Soil and Plant Scientists,100,35,"72,794",39.38,"81,901",25.14,"52,285",24.93,"51,859",59.19,"123,117"
000009,Connecticut,19-3022,Survey Researchers,280,28.07,"58,391",29.41,"61,164",18.07,"37,591",15.45,"32,150",40.35,"83,937"
000009,Connecticut,19-3051,Urban and Regional Planners,370,41.7,"86,751",45.34,"94,300",30.29,"63,002",29.53,"61,423",63.73,"132,546"
000009,Connecticut,19-1023,Zoologists and Wildlife Biologists,80,36.42,"75,743",38.04,"79,108",26.68,"55,484",22.44,"46,688",49.86,"103,698"
000009,Connecticut,21-0000,Community and Social Service Occupations,"33,960",27.44,"57,062",30.14,"62,680",17.95,"37,342",17.13,"35,639",47.58,"98,973"
000009,Connecticut,21-1021,"Child, Family, and School Social Workers","5,790",37.46,"77,903",35.93,"74,736",24.26,"50,447",21.97,"45,712",49.32,"102,587"
000009,Connecticut,21-2011,Clergy,630,29.87,"62,119",30.45,"63,334",19.55,"40,676",18.86,"39,222",45.15,"93,916"
000009,Connecticut,21-1099,"Community and Social Service Specialists, All Other",420,28.16,"58,578",29.98,"62,358",18.16,"37,768",17.25,"35,888",45.97,"95,619"
000009,Connecticut,21-1094,Community Health Workers,520,26.56,"55,245",28.67,"59,637",20.24,"42,098",18.81,"39,107",40.51,"84,248"
000009,Connecticut,21-1019,"Counselors, All Other",470,19.23,"40,001",23.04,"47,924",17.6,"36,605",17.74,"36,885",34.19,"71,112"
000009,Connecticut,21-2021,"Directors, Religious Activities and Education",160,24.52,"50,998",26.02,"54,134",17.24,"35,847",15.86,"32,970",41.62,"86,574"
000009,Connecticut,21-1012,"Educational, Guidance, and Career Counselors and Advisors","3,090",33.88,"70,479",35.91,"74,684",21.54,"44,788",18.62,"38,723",51.33,"106,772"
000009,Connecticut,21-1091,Health Education Specialists,480,31.58,"65,681",42.35,"88,090",20.49,"42,607",19.18,"39,897",61.97,"128,901"
000009,Connecticut,21-1022,Healthcare Social Workers,"1,930",38.02,"79,077",36.8,"76,553",27.39,"56,989",24.84,"51,662",48.45,"100,791"
000009,Connecticut,21-1013,Marriage and Family Therapists,430,29.64,"61,642",33.96,"70,624",23.26,"48,381",21.03,"43,739",51.14,"106,377"
000009,Connecticut,21-1023,Mental Health and Substance Abuse Social Workers,"1,400",36.35,"75,588",39.48,"82,119",20.91,"43,510",18.59,"38,661",80.32,"167,074"
000009,Connecticut,21-1092,Probation Officers and Correctional Treatment Specialists,"1,080",48.17,"100,199",45.77,"95,214",34.52,"71,797",32.95,"68,537",55.37,"115,173"
000009,Connecticut,21-1015,Rehabilitation Counselors,"2,770",18.55,"38,578",23.61,"49,108",16.37,"34,030",15.94,"33,168",38.44,"79,960"
000009,Connecticut,21-2099,"Religious Workers, All Other",60,16.58,"34,497",19.45,"40,457",14.59,"30,353",14.32,"29,793",28.22,"58,703"
000009,Connecticut,21-1093,Social and Human Service Assistants,"8,310",18.95,"39,419",21.66,"45,058",16.1,"33,469",15,"31,184",30.02,"62,441"
000009,Connecticut,21-1029,"Social Workers, All Other",340,32.84,"68,298",36.64,"76,211",25.87,"53,801",23.68,"49,253",51.79,"107,717"
000009,Connecticut,21-1018,"Substance abuse, behavioral disorder, and mental health counselors","6,070",25.22,"52,462",28.45,"59,170",18.89,"39,284",17.81,"37,051",40.98,"85,224"
000009,Connecticut,23-0000,Legal Occupations,"14,480",50.15,"104,300",65.9,"137,063",28.96,"60,250",24.55,"51,049",114.31,"237,771"
000009,Connecticut,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",300,40.7,"84,653",45.91,"95,484",35.04,"72,888",35.18,"73,168",67.82,"141,061"
000009,Connecticut,23-1022,"Arbitrators, Mediators, and Conciliators",N/A,35.85,"74,560",38.57,"80,219",26.03,"54,144",24.31,"50,572",52.85,"109,918"
